guid,tag
8,positive
1576,positive
2320,negative
4912,negative
3821,negative
1306,negative
4555,positive
259,positive
3216,positive
881,negative
1037,positive
2463,positive
3760,positive
3102,positive
4074,negative
2155,positive
5009,negative
3292,positive
3599,neutral
1061,positive
3927,negative
4461,positive
716,positive
2505,positive
1803,negative
2157,negative
1612,positive
4052,negative
3641,positive
5097,positive
2358,positive
349,negative
4710,negative
2991,negative
459,negative
1737,positive
1993,positive
116,positive
2949,positive
2792,negative
1580,positive
2021,negative
4843,negative
4827,positive
3119,negative
3298,negative
4541,negative
1952,positive
1839,negative
2127,positive
3872,positive
3023,positive
2351,positive
4507,positive
600,positive
1516,positive
4601,neutral
1046,negative
1227,negative
4378,positive
4357,positive
4094,positive
5027,positive
1969,positive
4754,positive
861,negative
136,positive
4466,neutral
4916,negative
1025,negative
4922,negative
1233,positive
1173,positive
532,positive
51,positive
3008,positive
1578,positive
4945,positive
2572,negative
173,positive
3439,positive
755,negative
2918,negative
1417,positive
3152,negative
121,positive
780,positive
4319,positive
1191,positive
1573,positive
1406,positive
3955,negative
2904,positive
2721,positive
58,positive
3149,positive
3690,positive
3243,positive
3476,positive
1393,positive
3362,positive
1552,positive
2348,negative
1863,positive
3003,positive
1949,positive
2137,positive
4500,negative
2823,positive
1021,positive
3103,positive
4981,negative
3110,negative
824,positive
1999,positive
1769,negative
4038,negative
2499,positive
4287,positive
4913,negative
3181,negative
4578,positive
1446,positive
1269,positive
2803,positive
1099,positive
96,positive
749,positive
489,positive
3464,negative
4910,negative
5000,negative
2717,positive
939,neutral
4944,positive
4560,positive
4471,negative
313,positive
3002,positive
204,positive
4082,positive
960,negative
740,positive
31,positive
3324,negative
264,neutral
1922,negative
3424,positive
1192,positive
4603,positive
570,positive
2668,negative
1645,positive
3271,negative
89,positive
3975,neutral
3397,positive
3638,neutral
1228,positive
2744,positive
4545,positive
730,negative
2958,positive
1717,positive
1324,positive
4312,positive
3374,positive
4430,negative
3945,positive
290,positive
4061,negative
1168,positive
1667,negative
3139,negative
964,negative
3495,positive
932,positive
4483,negative
3227,negative
5108,negative
1931,positive
5040,positive
3174,positive
1381,positive
2800,positive
4911,positive
1768,negative
4087,positive
1648,positive
3909,positive
4348,positive
3170,negative
3774,positive
3492,negative
1994,negative
2971,negative
5043,positive
4552,positive
4372,positive
1682,positive
4046,negative
4022,negative
174,positive
4387,negative
677,positive
1133,positive
429,positive
4040,negative
2114,positive
3998,negative
1020,positive
2676,positive
2367,positive
5037,negative
2863,positive
2988,neutral
2746,negative
1431,positive
2550,negative
286,positive
739,positive
3348,positive
3948,positive
3224,positive
1096,positive
1584,positive
3660,positive
